regions,population
Адыгея,497
Алтай,211
Алтайский край,2 164
Амурская область,767
Архангельская область,1 020
Архангельская область без автономного округа,979
Астраханская область,960
Башкортостан,4 091
Белгородская область,1 540
Брянская область,1 169
Бурятия,979
Владимирская область,1 348
Волгоградская область,2 501
Вологодская область,1 143
Воронежская область,2 309
Дагестан,3 182
Еврейская автономная область,150
Забайкальский край,1 004
Ивановская область,928
Ингушетия,510
Иркутская область,2 370
Кабардино-Балкарская,904
Калининградская об-ласть,1 030
Калмыкия,267
Калужская область,1 070
Камчатский край,292
Карачаево-Черкесская,470
Карелия,533
Кемеровская область – Кузбасс,2 601
Кировская область,1 154
Коми,738
Костромская область,581
Краснодарский край,5 838
Красноярский край,2 857
Крым,1 935
Курганская область,777
Курская область,1 082
Ленинградская область,2 001
Липецкая область,1 143
Магаданская область,136
Марий Эл,677
Мордовия,784
Москва,13 010
Московская область,8 532
Мурманская область,668
Ненецкий автономный округ,41
Нижегородская область,3 119
Новгородская область,583
Новосибирская область,2 798
Омская область,1 859
Оренбургская область,1 863
Орловская область,713
Пензенская область,1 266
Пермский край,2 532
Приморский край,1 845
Псковская область,600
Ростовская область,4 201
Рязанская область,1 103
Самарская область,3 173
Санкт-Петербург,5 602
Саратовская область,2 443
Саха (Якутия),996
Сахалинская область,467
Свердловская область,4 269
Севастополь,548
Северная Осетия – Алания,687
Смоленская область,888
Ставропольский край,2 908
Тамбовская область,983
Татарстан,4 005
Тверская область,1 230
Томская область,1 063
Тульская область,1 501
Тыва,337
Тюменская область,3 824
Тюменская область без автономных округов,1 602
Удмуртская,1 453
Ульяновская область,1 197
Хабаровский край,1 293
Хакасия,535
Ханты-Мансийский автономный округ – Югра,1 711
Челябинская область,3 431
Чеченская,1 511
Чувашская,1 187
Чукотский автономный округ,47
Ямало-Ненецкий автономный округ,510
Ярославская область,1 210
